code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
36071;ETRECHET;36120;;ETRECHET;46.792864763,1.7771106520000002
12200;RIVIERE SUR TARN;12640;;RIVIERE SUR TARN;44.211195044,3.127601659
54550;VATHIMENIL;54122;;VATHIMENIL;48.504452768,6.614774181
37181;PAULMY;37350;;PAULMY;46.9807773,0.827671833
08330;NOVY CHEVRIERES;08300;;NOVY CHEVRIERES;49.54640285,4.441874527
36073;FEUSINES;36160;;FEUSINES;46.512391715,2.099541837
12202;RODEZ;12000;;RODEZ;44.358691956,2.566866502
54560;VENEY;54540;;VENEY;48.461080495,6.813160994
37184;LE PETIT PRESSIGNY;37350;;LE PETIT PRESSIGNY;46.910042686,0.9171909330000001
08341;POIX TERRON;08430;;POIX TERRON;49.644261805,4.65252159
36074;FLERE LA RIVIERE;36700;;FLERE LA RIVIERE;46.996968352,1.093175831
12205;LA ROUQUETTE;12200;;LA ROUQUETTE;44.309945905,1.974499242
54561;VENNEZEY;54830;;VENNEZEY;48.441985028,6.460506614
37188;POUZAY;37800;;POUZAY;47.083553396,0.545839678
08344;PREZ;08290;;PREZ;49.80159144,4.361673156
36084;GOURNAY;36230;;GOURNAY;46.596531755,1.734763574
12206;ROUSSENNAC;12220;;ROUSSENNAC;44.447345191,2.253659071
54564;VIEVILLE EN HAYE;54470;;VIEVILLE EN HAYE;48.939141987,5.918753867
37189;PREUILLY SUR CLAISE;37290;;PREUILLY SUR CLAISE;46.849934744,0.93094088
08350;QUATRE CHAMPS;08400;;QUATRE CHAMPS;49.4459063,4.776950689
36085;GUILLY;36150;;GUILLY;47.084920111,1.7342244560000002
12220;STE EULALIE DE CERNON;12230;;STE EULALIE DE CERNON;43.960516541,3.138478163
54565;VIGNEULLES;54360;;VIGNEULLES;48.568714244,6.343374296
37192;REIGNAC SUR INDRE;37310;;REIGNAC SUR INDRE;47.223020884,0.916612775
08352;RAILLICOURT;08430;;RAILLICOURT;49.652590325,4.5912959220000005
36092;LANGE;36600;;LANGE;47.073829379,1.508222484
12223;ARGENCES EN AUBRAC;12210;LACALM;ARGENCES EN AUBRAC;44.775559383,2.815050399
54567;VILLACOURT;54290;;VILLACOURT;48.438739493,6.336142758
37203;ROCHECORBON;37210;;ROCHECORBON;47.42990831,0.761071106
08360;RENNEVILLE;08220;;RENNEVILLE;49.65069888,4.135887706
36095;LIGNEROLLES;36160;;LIGNEROLLES;46.500836363,2.163127988
12223;ARGENCES EN AUBRAC;12210;LA TERRISSE;ARGENCES EN AUBRAC;44.775559383,2.815050399
54572;VILLE HOUDLEMONT;54730;;VILLE HOUDLEMONT;49.538942509,5.657731696
37211;ST BRANCHS;37320;;ST BRANCHS;47.224478974,0.758325452
08363;REVIN;08500;;REVIN;49.934423689,4.692078492
36096;LINGE;36220;;LINGE;46.75543754,1.113120141
12223;ARGENCES EN AUBRAC;12420;VITRAC EN VIADENE;ARGENCES EN AUBRAC;44.775559383,2.815050399
54574;VILLERS LA CHEVRE;54870;;VILLERS LA CHEVRE;49.505634393,5.689387734
37221;ST HIPPOLYTE;37600;;ST HIPPOLYTE;47.057311355,1.132760704
08366;ROCQUIGNY;08220;LA HARDOYE;ROCQUIGNY;49.699994089,4.247565319
36105;LUREUIL;36220;;LUREUIL;46.746752857,1.0376066879999999
12224;ST GENIEZ D OLT ET D AUBRAC;12130;AURELLE VERLAC;ST GENIEZ D OLT ET D AUBRAC;44.512647263,3.012399627
54581;VILLE SUR YRON;54800;;VILLE SUR YRON;49.121181464,5.872899144
37236;ST REGLE;37530;;ST REGLE;47.410216178,1.0397113629999999
08367;ROCROI;08230;HONGREAU;ROCROI;49.931624443,4.558484752
36106;LUZERET;36800;;LUZERET;46.547767968,1.385313571
12226;ST HIPPOLYTE;12140;;ST HIPPOLYTE;44.726230964,2.584212204
